epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.60581,1.97869,5.45913,1.66065,0.00333,1,0.11891,0.05267,1.88486,5.15354,1.53613,8e-05,8e-05,8e-05
2,8.73271,1.39022,4.45725,1.22391,0.00333,1,0.3042,0.17997,1.27492,4.20759,1.12027,0.000178218,0.000178218,0.000178218
3,11.4901,1.44373,5.00566,1.22941,0.00333,1,0.51738,0.22677,1.25146,4.20437,1.10813,0.000274456,0.000274456,0.000274456
4,14.4782,1.57935,3.8299,1.23898,0.00333,1,0.65226,0.301,1.32571,4.29931,1.13541,0.000368714,0.000368714,0.000368714
5,17.2744,1.48917,4.47172,1.25211,0.00333,1,0.77767,0.32277,1.10572,4.33954,1.14814,0.000460992,0.000460992,0.000460992
6,20.4647,1.45462,3.44912,1.22237,0.00333,1,0.84426,0.33671,1.16065,4.40888,1.16788,0.00055129,0.00055129,0.00055129
7,23.2591,1.38007,3.60125,1.2117,0.00333,1,0.2637,0.11128,1.34998,4.60966,1.23517,0.000639608,0.000639608,0.000639608
8,25.9137,1.2366,3.14361,1.16537,0.00333,1,0.06986,0.03731,1.3657,4.50154,1.27738,0.000725946,0.000725946,0.000725946
9,28.5891,1.43394,3.24667,1.29506,0.00333,1,0.0306,0.01183,1.2475,4.41256,1.27349,0.000810304,0.000810304,0.000810304
10,31.5687,1.539,3.26857,1.27951,0.00333,1,0.04433,0.01816,1.20561,4.24174,1.17922,0.000892682,0.000892682,0.000892682
11,34.3782,1.24623,2.91647,1.15685,0.00333,1,0.08733,0.03862,1.363,4.30927,1.19381,0.00097308,0.00097308,0.00097308
12,37.2574,1.33127,2.52741,1.26847,0.00333,1,0.32853,0.13441,1.35717,4.13799,1.23146,0.0010515,0.0010515,0.0010515
13,40.1441,1.35852,2.87684,1.17413,0.0701,0.88889,0.53865,0.20599,1.31259,4.2239,1.23354,0.00112794,0.00112794,0.00112794
14,42.9862,1.34896,2.6193,1.20213,0.0701,0.88889,0.53865,0.20599,1.31259,4.2239,1.23354,0.00120239,0.00120239,0.00120239
15,45.7761,1.27774,2.7808,1.18418,0.00333,1,0.58278,0.29985,1.29865,4.30177,1.19265,0.00127487,0.00127487,0.00127487
16,48.4683,1.27098,2.85648,1.18525,1,0.2738,0.67275,0.30438,1.27457,4.07455,1.2219,0.00134537,0.00134537,0.00134537
17,51.3141,1.26169,2.39428,1.17726,1,0.3551,0.74436,0.31334,1.36785,3.77989,1.34161,0.00141389,0.00141389,0.00141389
18,54.0307,1.2856,2.50107,1.14198,1,0.3551,0.74436,0.31334,1.36785,3.77989,1.34161,0.00148043,0.00148043,0.00148043
19,56.8564,1.2898,2.40134,1.15973,0.83877,0.44444,0.81657,0.3538,1.45134,3.51412,1.40859,0.00154498,0.00154498,0.00154498
20,59.7393,1.42273,2.74895,1.24607,0.8794,0.81297,0.96278,0.39407,1.67701,3.36381,1.62632,0.00160756,0.00160756,0.00160756
21,62.4646,1.44875,2.71007,1.23693,0.8794,0.81297,0.96278,0.39407,1.67701,3.36381,1.62632,0.001604,0.001604,0.001604
22,65.4964,1.24761,2.26618,1.14176,0.81519,0.88889,0.96278,0.5353,1.41437,3.0741,1.45345,0.0015842,0.0015842,0.0015842
23,68.8363,1.19484,2.23608,1.11526,0.97482,0.88889,0.9675,0.50947,1.53929,2.84213,1.61209,0.0015644,0.0015644,0.0015644
24,71.7224,1.18609,2.14964,1.13894,0.97482,0.88889,0.9675,0.50947,1.53929,2.84213,1.61209,0.0015446,0.0015446,0.0015446
25,74.6116,1.23641,2.22399,1.18055,0.96289,0.88889,0.94687,0.45773,1.62232,2.89746,1.7882,0.0015248,0.0015248,0.0015248
26,77.3447,1.20816,2.22848,1.19418,0.96289,0.88889,0.94687,0.45773,1.62232,2.89746,1.7882,0.001505,0.001505,0.001505
27,80.1841,1.31897,2.20413,1.20738,0.84125,0.88889,0.96278,0.54605,1.55877,2.66586,1.66278,0.0014852,0.0014852,0.0014852
