epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,5.46856,0.76875,0.44444,1,0.8835,5.001e-05,5.001e-05,5.001e-05
2,6.87046,0.65312,0.44444,1,0.82762,0.000114765,0.000114765,0.000114765
3,8.09961,0.64298,0.44444,1,0.81468,0.000177319,0.000177319,0.000177319
4,9.26402,0.62134,0.33333,1,0.78987,0.000237673,0.000237673,0.000237673
5,10.4879,0.75774,0.44444,1,0.75999,0.000295826,0.000295826,0.000295826
6,11.7049,0.66134,0.44444,1,0.75776,0.000351779,0.000351779,0.000351779
7,12.893,0.64731,0.55556,1,0.78611,0.000405531,0.000405531,0.000405531
8,14.0637,0.6751,0.55556,1,0.81477,0.000457083,0.000457083,0.000457083
9,15.235,0.51865,0.55556,1,0.80781,0.000506435,0.000506435,0.000506435
10,16.4013,0.49783,0.55556,1,0.86305,0.000553586,0.000553586,0.000553586
11,17.5803,0.52241,0.44444,1,0.96299,0.000598536,0.000598536,0.000598536
12,18.7375,0.5027,0.44444,1,1.03506,0.000641287,0.000641287,0.000641287
13,19.9449,0.41965,0.44444,1,1.06527,0.000681836,0.000681836,0.000681836
14,21.1413,0.56377,0.55556,1,1.07481,0.000720186,0.000720186,0.000720186
15,22.3257,0.41822,0.55556,1,0.95635,0.000756335,0.000756335,0.000756335
16,23.3811,0.4068,0.55556,1,0.95635,0.000790283,0.000790283,0.000790283
17,24.5193,0.46253,0.77778,1,0.81582,0.000822031,0.000822031,0.000822031
18,25.7027,0.41126,0.66667,1,0.76494,0.000851579,0.000851579,0.000851579
19,26.7592,0.50939,0.66667,1,0.76494,0.000878926,0.000878926,0.000878926
20,27.9487,0.50246,0.66667,1,0.74007,0.000904072,0.000904072,0.000904072
21,29.1161,0.45267,0.66667,1,0.80147,0.000927019,0.000927019,0.000927019
22,30.1774,0.45942,0.66667,1,0.80147,0.000947765,0.000947765,0.000947765
23,31.3607,0.29128,0.88889,1,0.77754,0.00096631,0.00096631,0.00096631
24,32.4464,0.28853,0.88889,1,0.77754,0.000982655,0.000982655,0.000982655
25,33.6359,0.20803,0.88889,1,0.89053,0.000996799,0.000996799,0.000996799
26,34.6998,0.30655,0.88889,1,0.89053,0.000979362,0.000979362,0.000979362
27,35.8964,0.25779,0.88889,1,1.10017,0.000951857,0.000951857,0.000951857
28,36.9796,0.16629,0.88889,1,1.10017,0.000924352,0.000924352,0.000924352
29,38.1646,0.26051,0.88889,1,1.12147,0.000896846,0.000896846,0.000896846
30,39.2387,0.31076,0.88889,1,1.12147,0.00086934,0.00086934,0.00086934
31,40.4249,0.13021,0.88889,1,1.12555,0.000841835,0.000841835,0.000841835
32,41.4877,0.1331,0.88889,1,1.12555,0.000814329,0.000814329,0.000814329
33,42.6898,0.27346,0.88889,1,1.02969,0.000786824,0.000786824,0.000786824
34,43.7611,0.41915,0.88889,1,1.02969,0.000759318,0.000759318,0.000759318
35,44.9857,0.15631,0.77778,1,0.91315,0.000731813,0.000731813,0.000731813
36,46.076,0.15089,0.77778,1,0.91315,0.000704307,0.000704307,0.000704307
37,47.2679,0.15228,0.77778,1,0.89992,0.000676802,0.000676802,0.000676802
38,48.3294,0.28132,0.77778,1,0.89992,0.000649297,0.000649297,0.000649297
39,49.5161,0.34581,0.66667,1,0.93989,0.000621791,0.000621791,0.000621791
40,50.5732,0.39081,0.66667,1,0.93989,0.000594286,0.000594286,0.000594286
41,51.7642,0.08524,0.66667,1,0.97626,0.00056678,0.00056678,0.00056678
42,52.8442,0.13948,0.66667,1,0.97626,0.000539275,0.000539275,0.000539275
43,54.0293,0.05851,0.66667,1,1.01944,0.000511769,0.000511769,0.000511769
44,55.1089,0.16174,0.66667,1,1.01944,0.000484263,0.000484263,0.000484263
45,56.3399,0.33698,0.77778,1,1.07698,0.000456758,0.000456758,0.000456758
46,57.3853,0.12645,0.77778,1,1.07698,0.000429253,0.000429253,0.000429253
47,58.5687,0.26031,0.66667,1,1.21524,0.000401747,0.000401747,0.000401747
48,59.6521,0.22647,0.66667,1,1.21524,0.000374242,0.000374242,0.000374242
