epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1.80746,0.64101,0.56863,1,0.94535,0.00018337,0.00018337,0.00018337
2,3.63324,0.55098,0.60784,1,0.77103,0.000377084,0.000377084,0.000377084
3,5.24816,0.50457,0.68627,1,0.56119,0.000564196,0.000564196,0.000564196
4,6.86212,0.46628,0.7451,1,0.53212,0.000744707,0.000744707,0.000744707
5,8.51032,0.36193,0.88235,1,0.35712,0.000918617,0.000918617,0.000918617
6,10.1893,0.27283,0.88235,1,0.33734,0.00108593,0.00108593,0.00108593
7,11.7288,0.27766,0.78431,1,0.75172,0.00124663,0.00124663,0.00124663
8,13.2685,0.37551,0.84314,1,0.64354,0.00140074,0.00140074,0.00140074
9,14.8087,0.23484,0.92157,1,0.556,0.00144696,0.00144696,0.00144696
10,16.3253,0.20097,0.90196,1,0.3737,0.00141945,0.00141945,0.00141945
11,17.8538,0.22215,0.92157,1,0.69656,0.00139195,0.00139195,0.00139195
12,19.4106,0.24006,0.90196,1,0.79113,0.00136444,0.00136444,0.00136444
13,20.9253,0.15756,0.88235,1,0.66951,0.00133693,0.00133693,0.00133693
14,22.4658,0.21126,0.92157,1,0.41604,0.00130943,0.00130943,0.00130943
15,24.0221,0.24018,0.94118,1,0.52204,0.00128192,0.00128192,0.00128192
16,25.5483,0.21879,0.92157,1,0.50459,0.00125442,0.00125442,0.00125442
17,27.1057,0.18739,0.92157,1,0.30387,0.00122691,0.00122691,0.00122691
18,28.6324,0.21969,0.92157,1,0.16071,0.00119941,0.00119941,0.00119941
19,30.1608,0.25409,0.92157,1,0.39635,0.0011719,0.0011719,0.0011719
20,31.7092,0.21347,0.94118,1,1.17545,0.0011444,0.0011444,0.0011444
21,33.2885,0.1386,0.94118,1,1.52935,0.00111689,0.00111689,0.00111689
22,34.8494,0.1934,0.90196,1,1.16943,0.00108938,0.00108938,0.00108938
23,36.3626,0.20372,0.92157,1,1.16752,0.00106188,0.00106188,0.00106188
24,37.928,0.17731,0.92157,1,1.19018,0.00103437,0.00103437,0.00103437
25,39.4877,0.17913,0.92157,1,1.96794,0.00100687,0.00100687,0.00100687
26,41.0457,0.18175,0.90196,1,0.30674,0.000979362,0.000979362,0.000979362
27,42.5941,0.17296,0.94118,1,0.15231,0.000951857,0.000951857,0.000951857
28,44.1357,0.12339,0.94118,1,0.23533,0.000924352,0.000924352,0.000924352
29,45.6632,0.1092,0.92157,1,0.40624,0.000896846,0.000896846,0.000896846
30,47.2146,0.12664,0.96078,1,0.24505,0.00086934,0.00086934,0.00086934
31,48.7528,0.12865,0.96078,1,0.22663,0.000841835,0.000841835,0.000841835
32,50.2877,0.18162,0.94118,1,0.34148,0.000814329,0.000814329,0.000814329
33,51.8286,0.14273,0.96078,1,0.25528,0.000786824,0.000786824,0.000786824
34,53.4853,0.14356,0.90196,1,0.35925,0.000759318,0.000759318,0.000759318
35,55.0399,0.12953,0.94118,1,0.48327,0.000731813,0.000731813,0.000731813
36,56.5996,0.14273,0.92157,1,0.71565,0.000704307,0.000704307,0.000704307
37,58.1523,0.14135,0.92157,1,0.44747,0.000676802,0.000676802,0.000676802
38,59.6951,0.1186,0.92157,1,0.64184,0.000649297,0.000649297,0.000649297
39,61.2272,0.09274,0.92157,1,0.5352,0.000621791,0.000621791,0.000621791
40,62.7833,0.09059,0.90196,1,0.41381,0.000594286,0.000594286,0.000594286
41,64.3194,0.11362,0.90196,1,0.46561,0.00056678,0.00056678,0.00056678
42,65.8417,0.10627,0.90196,1,0.33378,0.000539275,0.000539275,0.000539275
43,67.3603,0.06697,0.92157,1,0.28009,0.000511769,0.000511769,0.000511769
44,68.9022,0.06751,0.92157,1,0.28698,0.000484263,0.000484263,0.000484263
45,70.4537,0.08592,0.92157,1,0.25748,0.000456758,0.000456758,0.000456758
46,71.9748,0.07856,0.92157,1,0.3508,0.000429253,0.000429253,0.000429253
47,73.5004,0.09406,0.94118,1,0.46934,0.000401747,0.000401747,0.000401747
48,75.0272,0.10583,0.92157,1,0.46079,0.000374242,0.000374242,0.000374242
49,76.5544,0.07864,0.92157,1,0.41275,0.000346736,0.000346736,0.000346736
50,78.0753,0.08891,0.92157,1,0.588,0.000319231,0.000319231,0.000319231
51,79.6219,0.10516,0.92157,1,0.62706,0.000291725,0.000291725,0.000291725
52,81.146,0.05949,0.92157,1,0.40364,0.00026422,0.00026422,0.00026422
53,82.6755,0.07556,0.92157,1,0.39128,0.000236714,0.000236714,0.000236714
54,84.2092,0.05944,0.92157,1,0.51586,0.000209209,0.000209209,0.000209209
55,85.7351,0.13605,0.92157,1,0.41798,0.000181703,0.000181703,0.000181703
56,87.2519,0.0662,0.92157,1,0.38895,0.000154198,0.000154198,0.000154198
57,88.7954,0.07623,0.92157,1,0.5936,0.000126692,0.000126692,0.000126692
58,90.3253,0.0655,0.92157,1,0.35416,9.91865e-05,9.91865e-05,9.91865e-05
59,91.85,0.05381,0.92157,1,0.48922,7.1681e-05,7.1681e-05,7.1681e-05
60,93.3983,0.0818,0.92157,1,0.48219,4.41755e-05,4.41755e-05,4.41755e-05
