epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,3.92809,0.61807,0.5,1,0.56098,0.00013336,0.00013336,0.00013336
2,5.73053,0.51566,0.61765,1,1.3143,0.000278714,0.000278714,0.000278714
3,7.35582,0.50464,0.64706,1,0.50411,0.000419117,0.000419117,0.000419117
4,8.98363,0.40669,0.82353,1,0.31719,0.000554569,0.000554569,0.000554569
5,10.6678,0.38308,0.94118,1,1.17572,0.00068507,0.00068507,0.00068507
6,12.3922,0.30675,0.94118,1,0.16635,0.00081062,0.00081062,0.00081062
7,13.9791,0.18296,0.91176,1,0.33983,0.00093122,0.00093122,0.00093122
8,15.603,0.26782,0.91176,1,0.44975,0.00104687,0.00104687,0.00104687
9,17.4699,0.19339,0.94118,1,0.50761,0.00115756,0.00115756,0.00115756
10,19.4445,0.19438,0.94118,1,0.56964,0.00126331,0.00126331,0.00126331
11,21.1819,0.18603,0.91176,1,0.68799,0.00136411,0.00136411,0.00136411
12,22.9119,0.17594,0.91176,1,0.45834,0.00136444,0.00136444,0.00136444
13,24.665,0.12237,0.94118,1,0.24987,0.00133693,0.00133693,0.00133693
14,26.2556,0.24164,0.91176,1,0.16774,0.00130943,0.00130943,0.00130943
15,28.0789,0.26641,0.85294,1,0.26528,0.00128192,0.00128192,0.00128192
16,29.9879,0.28383,0.91176,1,0.17884,0.00125442,0.00125442,0.00125442
17,31.7742,0.23881,0.97059,1,0.0608,0.00122691,0.00122691,0.00122691
18,33.4385,0.21553,0.88235,1,0.21559,0.00119941,0.00119941,0.00119941
19,35.1384,0.28872,0.88235,1,0.31526,0.0011719,0.0011719,0.0011719
20,36.8485,0.21502,0.91176,1,0.28514,0.0011444,0.0011444,0.0011444
21,38.5826,0.1505,0.91176,1,0.32051,0.00111689,0.00111689,0.00111689
22,40.237,0.14035,0.91176,1,0.27417,0.00108938,0.00108938,0.00108938
23,42.0993,0.24083,0.91176,1,0.24438,0.00106188,0.00106188,0.00106188
24,43.7498,0.19083,0.91176,1,3.06841,0.00103437,0.00103437,0.00103437
25,45.2953,0.12858,0.91176,1,0.30035,0.00100687,0.00100687,0.00100687
26,46.9751,0.13383,0.91176,1,0.28824,0.000979362,0.000979362,0.000979362
27,48.6611,0.13046,0.91176,1,0.2886,0.000951857,0.000951857,0.000951857
28,50.436,0.17458,0.91176,1,0.27446,0.000924352,0.000924352,0.000924352
29,52.1447,0.14539,0.91176,1,0.24469,0.000896846,0.000896846,0.000896846
30,53.7745,0.20239,0.91176,1,0.21964,0.00086934,0.00086934,0.00086934
31,55.3503,0.12263,0.91176,1,2.48937,0.000841835,0.000841835,0.000841835
32,57.1144,0.13052,0.94118,1,0.21922,0.000814329,0.000814329,0.000814329
33,58.6746,0.10444,0.94118,1,0.21778,0.000786824,0.000786824,0.000786824
34,60.235,0.12611,0.94118,1,0.18334,0.000759318,0.000759318,0.000759318
35,61.8498,0.12086,0.94118,1,0.1709,0.000731813,0.000731813,0.000731813
36,63.4065,0.0966,0.94118,1,0.17797,0.000704307,0.000704307,0.000704307
37,64.9502,0.1039,0.94118,1,0.17103,0.000676802,0.000676802,0.000676802
38,66.5925,0.07485,0.94118,1,0.25336,0.000649297,0.000649297,0.000649297
39,68.3556,0.13278,0.94118,1,0.15662,0.000621791,0.000621791,0.000621791
40,70.2855,0.11487,0.94118,1,0.18091,0.000594286,0.000594286,0.000594286
41,72.2403,0.0672,0.94118,1,0.17264,0.00056678,0.00056678,0.00056678
42,73.9433,0.11741,0.94118,1,0.20864,0.000539275,0.000539275,0.000539275
