epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.24382,1.43668,4.60723,1.13096,0.00333,1,0.83658,0.57428,1.23572,4.12213,0.96985,0.00022,0.00022,0.00022
2,12.3744,1.18116,3.31496,0.97519,0.00333,1,0.97577,0.72646,0.89145,3.82976,0.88266,0.000454308,0.000454308,0.000454308
3,17.9869,1.10899,2.68095,0.98655,0.00333,1,0.8513,0.59579,0.93084,3.80063,0.91216,0.000682675,0.000682675,0.000682675
4,23.132,0.9742,2.40698,0.96779,0.41191,0.73913,0.73485,0.5155,0.92208,3.99966,0.94333,0.000905103,0.000905103,0.000905103
5,28.3373,0.93368,2.24462,0.96776,0.00333,1,0.00922,0.00609,1.00938,4.21573,1.10933,0.00112159,0.00112159,0.00112159
6,33.5776,0.96921,2.22411,1.01261,1,0.44919,0.70329,0.49875,1.13454,3.86061,1.14901,0.00133214,0.00133214,0.00133214
7,38.9128,0.94661,2.11917,1.02629,0.09131,0.78261,0.34718,0.29164,0.79263,3.90189,0.9537,0.00153675,0.00153675,0.00153675
8,44.6672,0.87455,1.8596,0.94209,0.95001,0.65217,0.74991,0.62644,0.75699,3.77588,0.93896,0.00173541,0.00173541,0.00173541
9,50.7752,0.89094,1.91577,0.98674,0.94046,0.68722,0.71261,0.55351,0.90136,3.25577,1.01456,0.001802,0.001802,0.001802
10,56.6667,0.87722,1.89163,0.98695,0.99731,0.73913,0.89177,0.72996,0.76317,2.77989,0.94371,0.00177725,0.00177725,0.00177725
11,62.464,0.93657,1.55248,0.97886,1,0.99865,0.995,0.80963,0.7916,1.8322,0.96628,0.0017525,0.0017525,0.0017525
12,67.9743,0.81258,1.48914,0.94497,0.99709,1,0.995,0.81671,0.71512,1.58816,0.93983,0.00172775,0.00172775,0.00172775
13,73.5734,0.82206,1.44767,0.93765,0.99662,1,0.995,0.82209,0.72148,1.50009,0.92217,0.001703,0.001703,0.001703
14,78.7988,0.84888,1.42421,0.93439,0.99595,1,0.995,0.81216,0.70697,1.36975,0.92049,0.00167825,0.00167825,0.00167825
15,84.231,0.78046,1.35998,0.93942,0.95657,1,0.99333,0.80124,0.79644,1.36176,0.97104,0.0016535,0.0016535,0.0016535
16,89.8238,0.77044,1.43324,0.92314,1,0.99519,0.995,0.78552,0.75778,1.53216,0.94533,0.00162875,0.00162875,0.00162875
17,94.9915,0.77607,1.35882,0.94499,0.9977,1,0.995,0.78438,0.80544,1.29306,0.95565,0.001604,0.001604,0.001604
18,100.3,0.72864,1.29324,0.9216,1,0.99053,0.995,0.7919,0.8038,1.41878,0.961,0.00157925,0.00157925,0.00157925
19,105.747,0.74088,1.2265,0.91393,1,0.99717,0.995,0.822,0.7336,1.22333,0.92024,0.0015545,0.0015545,0.0015545
20,111.038,0.7334,1.10026,0.90623,0.99961,1,0.995,0.81227,0.74753,1.07453,0.93737,0.00152975,0.00152975,0.00152975
21,116.201,0.77093,1.1002,0.91509,0.99971,1,0.995,0.78813,0.76932,1.01655,0.96216,0.001505,0.001505,0.001505
22,121.831,0.78037,1.04434,0.93175,0.9987,1,0.995,0.78919,0.77609,0.96367,0.95432,0.00148025,0.00148025,0.00148025
23,127.192,0.80467,1.02371,0.93361,0.99807,1,0.995,0.82153,0.69452,1.00866,0.91708,0.0014555,0.0014555,0.0014555
24,132.761,0.73327,0.9912,0.90975,0.99786,1,0.995,0.80724,0.73974,1.0563,0.9305,0.00143075,0.00143075,0.00143075
25,138.052,0.73869,0.97853,0.8774,0.99715,1,0.995,0.8214,0.71168,0.92513,0.92009,0.001406,0.001406,0.001406
26,143.188,0.66431,0.95792,0.8872,0.99704,1,0.995,0.82904,0.7353,0.89091,0.92373,0.00138125,0.00138125,0.00138125
27,148.434,0.72456,0.9364,0.90492,0.99702,1,0.995,0.83205,0.6775,0.8101,0.90451,0.0013565,0.0013565,0.0013565
28,153.64,0.73833,0.92935,0.90483,0.99725,1,0.995,0.82961,0.68013,0.83217,0.91161,0.00133175,0.00133175,0.00133175
29,158.868,0.73714,0.87937,0.93211,0.99705,1,0.995,0.83944,0.66132,0.80474,0.90442,0.001307,0.001307,0.001307
30,164.083,0.72502,0.84539,0.87973,0.99721,1,0.995,0.84828,0.66812,0.7688,0.89823,0.00128225,0.00128225,0.00128225
31,169.835,0.70032,0.84754,0.90277,0.99749,1,0.995,0.83001,0.68331,0.7242,0.90166,0.0012575,0.0012575,0.0012575
32,175.049,0.70205,0.80296,0.90932,0.99754,1,0.995,0.81822,0.71516,0.72474,0.90781,0.00123275,0.00123275,0.00123275
33,180.087,0.69979,0.81428,0.9042,0.99715,1,0.995,0.8481,0.68395,0.74793,0.90058,0.001208,0.001208,0.001208
34,185.215,0.72436,0.77034,0.91241,0.99723,1,0.995,0.82882,0.69143,0.73363,0.90298,0.00118325,0.00118325,0.00118325
35,190.358,0.70916,0.76259,0.91737,0.99759,1,0.995,0.83037,0.70389,0.70921,0.90768,0.0011585,0.0011585,0.0011585
36,195.481,0.65532,0.69398,0.87482,0.99759,1,0.995,0.83252,0.71204,0.66492,0.90775,0.00113375,0.00113375,0.00113375
37,200.616,0.68494,0.75829,0.89648,0.99735,1,0.995,0.82464,0.64657,0.66151,0.89122,0.001109,0.001109,0.001109
38,206.191,0.68929,0.70617,0.8942,0.99727,1,0.995,0.83924,0.6444,0.66789,0.89032,0.00108425,0.00108425,0.00108425
39,211.989,0.65626,0.71703,0.90555,0.99738,1,0.995,0.82907,0.66609,0.67314,0.90418,0.0010595,0.0010595,0.0010595
40,217.616,0.68166,0.66313,0.87477,0.99752,1,0.995,0.81903,0.65053,0.64149,0.89573,0.00103475,0.00103475,0.00103475
41,223.21,0.64038,0.66568,0.90679,0.99755,1,0.995,0.8397,0.65796,0.61035,0.8952,0.00101,0.00101,0.00101
42,228.937,0.64649,0.6892,0.90163,0.99774,1,0.995,0.8258,0.68663,0.63394,0.89961,0.00098525,0.00098525,0.00098525
43,234.329,0.67014,0.67065,0.90211,0.99775,1,0.995,0.83479,0.70864,0.65746,0.90369,0.0009605,0.0009605,0.0009605
44,239.662,0.67387,0.66508,0.89771,0.9979,1,0.995,0.83879,0.64848,0.61416,0.89212,0.00093575,0.00093575,0.00093575
45,245.02,0.69314,0.66225,0.89332,0.99796,1,0.995,0.82489,0.63516,0.58181,0.8873,0.000911,0.000911,0.000911
46,250.528,0.63545,0.57859,0.87795,0.99783,1,0.995,0.81603,0.61419,0.57979,0.87583,0.00088625,0.00088625,0.00088625
47,255.806,0.61183,0.56372,0.86384,0.99779,1,0.995,0.83634,0.60991,0.56508,0.87687,0.0008615,0.0008615,0.0008615
48,260.859,0.63913,0.58249,0.89221,0.99756,1,0.995,0.83025,0.62952,0.56185,0.88305,0.00083675,0.00083675,0.00083675
49,266.037,0.61308,0.56737,0.88276,0.9977,1,0.995,0.82968,0.62474,0.55956,0.8772,0.000812,0.000812,0.000812
50,271.062,0.60616,0.57005,0.86802,0.99765,1,0.995,0.85405,0.63132,0.55199,0.87499,0.00078725,0.00078725,0.00078725
51,276.266,0.60612,0.57725,0.86996,0.99777,1,0.995,0.83089,0.64754,0.54095,0.87949,0.0007625,0.0007625,0.0007625
52,281.408,0.62711,0.55948,0.87325,0.99775,1,0.995,0.83654,0.65045,0.53777,0.88515,0.00073775,0.00073775,0.00073775
53,286.55,0.64692,0.57307,0.86899,0.99767,1,0.995,0.83948,0.65636,0.51967,0.88439,0.000713,0.000713,0.000713
54,291.698,0.61898,0.54248,0.85991,0.99754,1,0.995,0.85243,0.65418,0.51391,0.88224,0.00068825,0.00068825,0.00068825
55,297.066,0.61713,0.55962,0.88172,0.99741,1,0.995,0.848,0.6614,0.52555,0.88355,0.0006635,0.0006635,0.0006635
56,302.561,0.59457,0.52761,0.86865,0.99747,1,0.995,0.85637,0.6391,0.50766,0.87678,0.00063875,0.00063875,0.00063875
57,308.188,0.593,0.53463,0.87574,0.99748,1,0.995,0.84407,0.6286,0.49274,0.86938,0.000614,0.000614,0.000614
58,313.381,0.57858,0.5147,0.87387,0.99745,1,0.995,0.84598,0.63107,0.5084,0.86954,0.00058925,0.00058925,0.00058925
59,318.415,0.60435,0.5182,0.85516,0.99746,1,0.995,0.84754,0.63517,0.52196,0.87225,0.0005645,0.0005645,0.0005645
60,323.493,0.5777,0.48252,0.84552,0.99751,1,0.995,0.84693,0.65175,0.53185,0.87934,0.00053975,0.00053975,0.00053975
61,328.595,0.5857,0.49068,0.85991,0.99759,1,0.995,0.84504,0.64627,0.495,0.88102,0.000515,0.000515,0.000515
62,333.642,0.57455,0.50676,0.85742,0.9976,1,0.995,0.83701,0.63802,0.47546,0.87839,0.00049025,0.00049025,0.00049025
63,338.622,0.60269,0.50401,0.85844,0.99758,1,0.995,0.86834,0.61612,0.46952,0.87366,0.0004655,0.0004655,0.0004655
64,343.694,0.58522,0.50211,0.86666,0.99762,1,0.995,0.86751,0.6211,0.45983,0.87406,0.00044075,0.00044075,0.00044075
65,348.758,0.58951,0.50488,0.85235,0.99755,1,0.995,0.85191,0.63113,0.46149,0.87711,0.000416,0.000416,0.000416
66,354.018,0.54214,0.4748,0.86436,0.99756,1,0.995,0.85672,0.61774,0.45546,0.87348,0.00039125,0.00039125,0.00039125
67,359.552,0.56537,0.47063,0.86006,0.99771,1,0.995,0.84937,0.61413,0.4524,0.87094,0.0003665,0.0003665,0.0003665
68,364.945,0.55424,0.48442,0.83743,0.99771,1,0.995,0.84551,0.61669,0.45343,0.87188,0.00034175,0.00034175,0.00034175
69,370.573,0.57114,0.52215,0.86886,0.99776,1,0.995,0.84298,0.6208,0.46078,0.87353,0.000317,0.000317,0.000317
70,376.275,0.56228,0.5138,0.86677,0.99774,1,0.995,0.84607,0.6311,0.46134,0.87509,0.00029225,0.00029225,0.00029225
71,381.559,0.55085,0.57067,0.89747,0.99764,1,0.995,0.84676,0.6473,0.45918,0.87926,0.0002675,0.0002675,0.0002675
72,386.476,0.53732,0.56577,0.84845,0.99765,1,0.995,0.85352,0.65344,0.45356,0.88145,0.00024275,0.00024275,0.00024275
73,391.801,0.52151,0.54318,0.87308,0.99769,1,0.995,0.85487,0.66007,0.45202,0.88515,0.000218,0.000218,0.000218
74,397.243,0.53859,0.55427,0.87397,0.99768,1,0.995,0.84671,0.65846,0.45335,0.8859,0.00019325,0.00019325,0.00019325
75,402.444,0.4993,0.53896,0.86663,0.99762,1,0.995,0.83588,0.64648,0.45722,0.88333,0.0001685,0.0001685,0.0001685
76,407.385,0.49287,0.54731,0.85506,0.99761,1,0.995,0.83508,0.64871,0.45889,0.88364,0.00014375,0.00014375,0.00014375
77,412.711,0.51267,0.53249,0.85509,0.99765,1,0.995,0.83167,0.64854,0.45656,0.88318,0.000119,0.000119,0.000119
78,417.587,0.50233,0.53804,0.84974,0.99763,1,0.995,0.83684,0.64779,0.456,0.88308,9.425e-05,9.425e-05,9.425e-05
79,422.628,0.49769,0.53077,0.85086,0.99767,1,0.995,0.83762,0.64279,0.45771,0.882,6.95e-05,6.95e-05,6.95e-05
80,427.522,0.49475,0.50956,0.85373,0.99764,1,0.995,0.83818,0.63942,0.45529,0.88141,4.475e-05,4.475e-05,4.475e-05
