epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.5589,1.24303,4.2536,1.0551,0.00333,1,0.47476,0.32311,1.02285,3.91925,0.89569,0.00014,0.00014,0.00014
2,9.29066,1.05697,3.65437,0.93991,0.00333,1,0.995,0.74973,0.85096,3.7843,0.867,0.000296288,0.000296288,0.000296288
3,12.8303,1.08662,2.73766,0.95135,0.00333,1,0.995,0.70233,1.14089,3.73995,0.92148,0.000448615,0.000448615,0.000448615
4,16.3874,0.94611,2.22496,0.95045,0.00333,1,0.995,0.73281,0.8767,3.60161,0.869,0.000596983,0.000596983,0.000596983
5,19.9015,0.86296,2.27142,0.91778,0.00333,1,0.995,0.74859,0.91007,3.63912,0.89758,0.00074139,0.00074139,0.00074139
6,23.4435,0.83048,2.22537,0.92181,0.99128,1,0.995,0.67649,0.93085,3.45362,0.88407,0.000881838,0.000881838,0.000881838
7,26.9437,0.80712,2.37247,0.91718,0.98633,1,0.995,0.62716,0.98628,3.46716,0.92444,0.00101833,0.00101833,0.00101833
8,30.5909,0.87671,2.30611,0.90557,0.97528,1,0.995,0.6496,0.92661,3.5037,0.94041,0.00115085,0.00115085,0.00115085
9,34.3068,0.82398,2.0746,0.90888,1,0.99148,0.995,0.76271,0.78479,3.3417,0.91469,0.00127942,0.00127942,0.00127942
10,37.8623,0.78921,1.9106,0.89811,0.97697,0.93333,0.94341,0.73858,0.96111,3.44446,1.02486,0.00140403,0.00140403,0.00140403
11,41.4052,0.85964,1.9803,0.93898,0.97197,0.93333,0.93629,0.77241,0.8716,3.53314,0.97683,0.00152467,0.00152467,0.00152467
12,44.9943,0.83304,1.87583,0.95361,1,0.93144,0.9367,0.81197,0.75319,3.39617,0.91254,0.00164136,0.00164136,0.00164136
13,48.5066,0.83973,1.94073,0.98746,0.97667,0.93333,0.953,0.77173,0.82779,2.96146,0.96084,0.001703,0.001703,0.001703
14,52.0577,0.8607,1.70349,0.96126,1,0.99212,0.995,0.77562,0.93677,2.57815,1.07844,0.00167825,0.00167825,0.00167825
15,55.5728,0.82842,1.93956,0.94454,1,0.99323,0.995,0.77978,0.80271,2.60055,0.96224,0.0016535,0.0016535,0.0016535
16,59.1382,0.77482,1.57815,0.94947,1,0.99749,0.995,0.81997,0.66698,1.84652,0.92398,0.00162875,0.00162875,0.00162875
17,62.6526,0.76618,1.59286,0.94388,1,0.99837,0.995,0.82295,0.68017,1.60977,0.91132,0.001604,0.001604,0.001604
18,66.163,0.76715,1.67028,0.94681,0.99866,1,0.995,0.82624,0.67511,1.60282,0.90624,0.00157925,0.00157925,0.00157925
19,69.7166,0.69112,1.46159,0.87958,0.99474,1,0.995,0.8556,0.65425,1.55308,0.90714,0.0015545,0.0015545,0.0015545
20,73.2488,0.70751,1.47794,0.92587,0.99328,1,0.995,0.84959,0.65947,1.43752,0.91776,0.00152975,0.00152975,0.00152975
21,76.7753,0.6671,1.30178,0.87733,0.99268,1,0.995,0.83978,0.62559,1.27435,0.89954,0.001505,0.001505,0.001505
22,80.3653,0.68325,1.27543,0.86643,0.99416,1,0.995,0.85139,0.66809,1.28592,0.91729,0.00148025,0.00148025,0.00148025
23,83.9525,0.66259,1.23176,0.90471,0.99533,1,0.995,0.84326,0.65569,1.22783,0.90068,0.0014555,0.0014555,0.0014555
24,87.4158,0.68767,1.29602,0.92699,0.99622,1,0.995,0.85403,0.61096,1.17744,0.88114,0.00143075,0.00143075,0.00143075
25,90.8847,0.68538,1.15731,0.88037,0.99591,1,0.995,0.84399,0.59039,1.10471,0.87311,0.001406,0.001406,0.001406
26,94.5465,0.62579,1.22097,0.9096,0.99619,1,0.995,0.845,0.60071,1.05214,0.87677,0.00138125,0.00138125,0.00138125
27,98.0701,0.67971,1.08176,0.90555,0.99677,1,0.995,0.86445,0.59742,1.08079,0.87475,0.0013565,0.0013565,0.0013565
28,101.642,0.67163,1.21092,0.91515,0.9966,1,0.995,0.86732,0.59804,1.13404,0.87699,0.00133175,0.00133175,0.00133175
29,105.189,0.73382,1.0836,0.91743,0.99621,1,0.995,0.85589,0.61285,1.16202,0.88058,0.001307,0.001307,0.001307
30,108.773,0.70155,1.10309,0.93633,0.99615,1,0.995,0.86225,0.6407,1.09838,0.88932,0.00128225,0.00128225,0.00128225
31,112.319,0.65523,1.11549,0.91656,0.99593,1,0.995,0.88644,0.59899,1.06767,0.87844,0.0012575,0.0012575,0.0012575
32,115.888,0.6478,0.98503,0.86176,0.99565,1,0.995,0.85854,0.66347,1.05096,0.90193,0.00123275,0.00123275,0.00123275
33,119.499,0.66148,0.96727,0.88641,0.99588,1,0.995,0.85938,0.69552,1.0165,0.91211,0.001208,0.001208,0.001208
34,123.077,0.66868,0.96945,0.88679,0.99652,1,0.995,0.87165,0.60163,0.94283,0.87974,0.00118325,0.00118325,0.00118325
35,126.674,0.6587,0.96523,0.88621,0.99716,1,0.995,0.85541,0.62692,0.93683,0.89304,0.0011585,0.0011585,0.0011585
36,130.333,0.62863,0.91609,0.89477,0.99824,1,0.995,0.82194,0.68109,0.96276,0.91206,0.00113375,0.00113375,0.00113375
37,134.003,0.62704,0.93609,0.88149,0.99792,1,0.995,0.84714,0.65326,0.95262,0.89969,0.001109,0.001109,0.001109
38,137.587,0.62996,0.93543,0.90867,0.9972,1,0.995,0.87341,0.62515,0.91882,0.88855,0.00108425,0.00108425,0.00108425
39,141.125,0.61752,0.91464,0.86931,0.99724,1,0.995,0.86141,0.60194,0.86363,0.87864,0.0010595,0.0010595,0.0010595
40,144.68,0.62289,0.8616,0.87157,0.99723,1,0.995,0.85335,0.60884,0.82248,0.88064,0.00103475,0.00103475,0.00103475
41,148.247,0.57496,0.79992,0.86105,0.99665,1,0.995,0.86097,0.60642,0.82029,0.87563,0.00101,0.00101,0.00101
42,151.872,0.6008,0.89809,0.88843,0.99643,1,0.995,0.87107,0.62082,0.82121,0.87769,0.00098525,0.00098525,0.00098525
43,155.439,0.62031,0.78856,0.87433,0.99681,1,0.995,0.87162,0.64745,0.80983,0.88738,0.0009605,0.0009605,0.0009605
44,159.038,0.5868,0.81598,0.86772,0.99681,1,0.995,0.87323,0.65514,0.82384,0.89857,0.00093575,0.00093575,0.00093575
45,162.585,0.52565,0.76512,0.86764,0.9968,1,0.995,0.84512,0.63682,0.82036,0.8966,0.000911,0.000911,0.000911
46,166.282,0.59772,0.79321,0.85795,0.99682,1,0.995,0.8316,0.62098,0.78936,0.88985,0.00088625,0.00088625,0.00088625
