epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.8667,2.34918,6.35045,1.69704,0.00292,0.875,0.02417,0.00764,1.72639,5.00025,1.2019,8e-05,8e-05,8e-05
2,19.0022,1.579,4.29149,1.23753,0.00333,1,0.36362,0.18934,1.17675,4.36744,1.03623,0.000177773,0.000177773,0.000177773
3,21.5596,1.40935,4.15369,1.16902,0.00333,1,0.74697,0.59478,0.92186,4.30473,0.90859,0.00027307,0.00027307,0.00027307
4,24.2741,1.40357,4.69865,1.09106,0.00333,1,0.89567,0.63743,0.94771,3.92489,0.87518,0.000365893,0.000365893,0.000365893
5,26.7861,1.0273,2.61568,0.99014,0.00333,1,0.86012,0.54611,0.97851,4.07952,0.92388,0.00045624,0.00045624,0.00045624
6,29.2839,0.99252,2.63911,1.00474,0.00333,1,0.85966,0.64729,0.89205,4.16324,0.93038,0.000544113,0.000544113,0.000544113
7,31.6999,0.95569,2.25215,0.9712,0.00333,1,0.84068,0.58632,0.90002,4.01307,0.95877,0.00062951,0.00062951,0.00062951
8,34.0867,1.08581,2.78253,1.07736,0.00333,1,0.22071,0.11705,0.89414,4.04454,0.96963,0.000712432,0.000712432,0.000712432
9,36.6163,1.15265,4.01766,1.21553,0.00333,1,0.0424,0.01358,0.87474,4.11373,0.971,0.00079288,0.00079288,0.00079288
10,38.9588,1.01625,2.31861,1.11679,0.00333,1,0.65788,0.48892,1.06502,3.8725,1.03255,0.000870853,0.000870853,0.000870853
11,41.3904,0.91575,2.24424,0.9592,0.00333,1,0.00809,0.00514,1.09704,3.92216,1.04518,0.00094635,0.00094635,0.00094635
12,43.6692,0.87766,2.40377,0.98955,0.00333,1,0.01313,0.00621,0.92629,3.89976,0.98427,0.00101937,0.00101937,0.00101937
13,45.9074,0.79075,4.32585,0.81071,0.00333,1,0.54718,0.40719,0.95352,3.73863,0.98738,0.00108992,0.00108992,0.00108992
14,48.3766,0.8227,2.29741,0.96115,0.00333,1,0.54718,0.40719,0.95352,3.73863,0.98738,0.00115799,0.00115799,0.00115799
15,50.9403,0.92534,1.76087,0.96151,0.01593,1,0.79411,0.53207,0.99066,3.45641,0.99173,0.00122359,0.00122359,0.00122359
16,53.3507,0.97068,2.0098,1.08948,0.40042,0.875,0.81381,0.55606,1.03548,3.26065,1.00754,0.00128671,0.00128671,0.00128671
17,55.8103,0.87945,1.82183,0.95698,0.00333,1,0.80484,0.63062,0.91782,3.3482,0.98464,0.00134736,0.00134736,0.00134736
18,58.223,0.93794,1.94939,0.98357,0.00333,1,0.80484,0.63062,0.91782,3.3482,0.98464,0.00140553,0.00140553,0.00140553
19,60.7421,0.99387,1.76303,1.01992,0.00977,1,0.87852,0.6983,0.92551,3.23329,0.99094,0.00146123,0.00146123,0.00146123
20,63.1915,0.97276,1.81643,1.01814,1,0.57416,0.995,0.79425,0.95006,2.95967,0.98601,0.00151445,0.00151445,0.00151445
21,65.578,0.84819,2.00342,0.91464,1,0.57416,0.995,0.79425,0.95006,2.95967,0.98601,0.001505,0.001505,0.001505
22,68.0171,0.72742,1.799,0.92385,1,0.75914,0.995,0.75882,0.97745,2.68714,0.97863,0.00148025,0.00148025,0.00148025
23,70.6838,0.78976,1.55754,0.98079,0.97159,1,0.995,0.75529,0.89312,2.08308,0.94363,0.0014555,0.0014555,0.0014555
24,72.8528,0.8748,1.81155,0.97677,0.97159,1,0.995,0.75529,0.89312,2.08308,0.94363,0.00143075,0.00143075,0.00143075
25,75.2543,0.88275,1.5598,0.92536,0.98584,1,0.995,0.7963,0.85062,1.87139,0.9291,0.001406,0.001406,0.001406
26,77.6791,0.85197,1.54129,0.92153,0.98584,1,0.995,0.7963,0.85062,1.87139,0.9291,0.00138125,0.00138125,0.00138125
27,80.1628,0.80741,1.38501,0.92422,0.99261,1,0.995,0.7905,0.98165,1.55525,0.99298,0.0013565,0.0013565,0.0013565
28,82.5944,0.82707,1.58314,0.9309,0.99377,1,0.995,0.84033,0.8039,1.23152,0.90759,0.00133175,0.00133175,0.00133175
